"","cluster","Accession","Protein","SL_GOIs","Gene"
"Zm00001d044393_T002",4,"Zm00001d044393_T002","Serine/threonine protein phosphatase 2A 55 kDa regulatory subunit B beta isoform","Other","Zm00001d044393"
"Zm00001d053927_T012",4,"Zm00001d053927_T012","Ribosomal RNA small subunit methyltransferase chloroplastic",NA,"Zm00001d053927"
"Zm00001d034805_T003",4,"Zm00001d034805_T003","translocation protein-related",NA,"Zm00001d034805"
"Zm00001d013747_T001",4,"Zm00001d013747_T001","Presenilin  ",NA,"Zm00001d013747"
"Zm00001d015058_T001",4,"Zm00001d015058_T001","Histone deacetylase complex subunit SAP18",NA,"Zm00001d015058"
"Zm00001d030266_T001",4,"Zm00001d030266_T001","Callose synthase 10","Other","Zm00001d030266"
"Zm00001d008333_T001",4,"Zm00001d008333_T001","Syntaxin-22",NA,"Zm00001d008333"
"Zm00001d019985_T001",4,"Zm00001d019985_T001","GDSL esterase/lipase ","Other","Zm00001d019985"
"Zm00001d031944_T001",4,"Zm00001d031944_T001","Late embryogenesis abundant (LEA) hydroxyproline-rich glycoprotein family","Other","Zm00001d031944"
"Zm00001d031938_T001",4,"Zm00001d031938_T001","Probable UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase SPINDLY","Other","Zm00001d031938"
"Zm00001d040309_T006",4,"Zm00001d040309_T006","Mediator-associated protein 2",NA,"Zm00001d040309"
"Zm00001d048234_T001",4,"Zm00001d048234_T001","protein_coding","Other","Zm00001d048234"
"Zm00001d018112_T003",4,"Zm00001d018112_T003","Polyadenylate-binding protein 3","Other","Zm00001d018112"
"Zm00001d047030_T005",4,"Zm00001d047030_T005","BAH domain ;TFIIS helical bundle-like domain",NA,"Zm00001d047030"
"Zm00001d048343_T003",4,"Zm00001d048343_T003","Ubiquitin domain-containing protein DSK2b",NA,"Zm00001d048343"
"Zm00001d032974_T003",4,"Zm00001d032974_T003","Probable prolyl 4-hydroxylase 12",NA,"Zm00001d032974"
"Zm00001d009320_T001",4,"Zm00001d009320_T001","IQ-domain 20",NA,"Zm00001d009320"
"Zm00001d048551_T004",4,"Zm00001d048551_T004","Cell number regulator 6  ","Other","Zm00001d048551"
"Zm00001d013750_T001",4,"Zm00001d013750_T001","ATPase E1","Other","Zm00001d013750"
"Zm00001d032972_T001",4,"Zm00001d032972_T001","Pathogenesis-related thaumatin superfamily protein","Other","Zm00001d032972"
"Zm00001d013649_T001",4,"Zm00001d013649_T001","Protease Do-like 7",NA,"Zm00001d013649"
"Zm00001d012407_T004",4,"Zm00001d012407_T004"," triose phosphate isomerase5","Other","Zm00001d012407"
"Zm00001d035684_T001",4,"Zm00001d035684_T001","Subtilisin-chymotrypsin inhibitor CI-1B%3B Subtilisin-chymotrypsin inhibitor CI-1B isoform 1%3B Subtilisin-chymotrypsin inhibitor CI-1B isoform 2  ",NA,"Zm00001d035684"
"Zm00001d021485_T001",4,"Zm00001d021485_T001","Vacuolar protein sorting-associated protein 24 homolog 1",NA,"Zm00001d021485"
"Zm00001d018573_T002",4,"Zm00001d018573_T002"," Rho-related protein from plants 4","Other","Zm00001d018573"
"Zm00001d039560_T001",4,"Zm00001d039560_T001","Thioredoxin superfamily protein","Other","Zm00001d039560"
"Zm00001d028162_T001",4,"Zm00001d028162_T001"," sulfate permease1",NA,"Zm00001d028162"
"Zm00001d045302_T001",4,"Zm00001d045302_T001","Zea nodulation homolog1","Other","Zm00001d045302"
"Zm00001d020807_T002",4,"Zm00001d020807_T002","Signal transducer",NA,"Zm00001d020807"
"Zm00001d038839_T001",4,"Zm00001d038839_T001","NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 2",NA,"Zm00001d038839"
"Zm00001d010528_T001",4,"Zm00001d010528_T001","60S ribosomal protein L36  ","Cytosolic ribosome","Zm00001d010528"
"Zm00001d050256_T001",4,"Zm00001d050256_T001","AP-4 complex subunit sigma","Other","Zm00001d050256"
"Zm00001d042880_T001",4,"Zm00001d042880_T001"," regulator of chromosome condensation1",NA,"Zm00001d042880"
"Zm00001d026632_T001",4,"Zm00001d026632_T001","Stem-specific protein TSJT1  ","Other","Zm00001d026632"
"Zm00001d049661_T002",4,"Zm00001d049661_T002","AT-hook motif nuclear-localized protein 1",NA,"Zm00001d049661"
"Zm00001d031992_T003",4,"Zm00001d031992_T003"," indeterminate domain p1",NA,"Zm00001d031992"
"Zm00001d025193_T001",4,"Zm00001d025193_T001","Eukaryotic translation initiation factor 3 subunit H","Other","Zm00001d025193"
"Zm00001d047849_T001",4,"Zm00001d047849_T001","Sulfoquinovosyl transferase SQD2","Other","Zm00001d047849"
"Zm00001d038809_T008",4,"Zm00001d038809_T008","Protein kinase superfamily protein","Other","Zm00001d038809"
"Zm00001d018040_T002",4,"Zm00001d018040_T002","DCD (Development and Cell Death) domain protein","Other","Zm00001d018040"
"Zm00001d039455_T001",4,"Zm00001d039455_T001","PRA1 family protein F2","Other","Zm00001d039455"
"Zm00001d046249_T005",4,"Zm00001d046249_T005","DeSI-like protein ",NA,"Zm00001d046249"
"Zm00001d042917_T001",4,"Zm00001d042917_T001","Trihelix transcription factor ASIL2",NA,"Zm00001d042917"
"Zm00001d027895_T003",4,"Zm00001d027895_T003","CTC-interacting domain 7",NA,"Zm00001d027895"
"Zm00001d034761_T001",4,"Zm00001d034761_T001","Actin-7","Other","Zm00001d034761"
"Zm00001d043941_T001",4,"Zm00001d043941_T001","Persulfide dioxygenase ETHE1 homolog mitochondrial","Other","Zm00001d043941"
"Zm00001d046440_T001",4,"Zm00001d046440_T001","FscO  ","Other","Zm00001d046440"
"Zm00001d003750_T001",4,"Zm00001d003750_T001","Digalactosyldiacylglycerol synthase 1 chloroplastic","Other","Zm00001d003750"
"Zm00001d034419_T001",4,"Zm00001d034419_T001","Acyl-CoA N-acyltransferases (NAT) superfamily protein","Other","Zm00001d034419"
"Zm00001d009404_T001",4,"Zm00001d009404_T001","aspartate-glutamate racemase family","Other","Zm00001d009404"
"Zm00001d051806_T002",4,"Zm00001d051806_T002","Protein binding protein  ",NA,"Zm00001d051806"
"Zm00001d010869_T001",4,"Zm00001d010869_T001","Tudor/PWWP/MBT superfamily protein","Other","Zm00001d010869"
"Zm00001d013113_T001",4,"Zm00001d013113_T001","Expp1 protein  ","Other","Zm00001d013113"
"Zm00001d038815_T001",4,"Zm00001d038815_T001","CASC3/Barentsz eIF4AIII binding","Other","Zm00001d038815"
"Zm00001d013329_T001",4,"Zm00001d013329_T001","Alba DNA/RNA-binding protein","Other","Zm00001d013329"
"Zm00001d054013_T002",4,"Zm00001d054013_T002","RNA polymerase I subunit 43","Other","Zm00001d054013"
"Zm00001d020411_T001",4,"Zm00001d020411_T001","Plant UBX domain-containing protein 2","Other","Zm00001d020411"
"Zm00001d052308_T046",4,"Zm00001d052308_T046","Clathrin heavy chain 2",NA,"Zm00001d052308"
"Zm00001d050501_T006",4,"Zm00001d050501_T006","WD repeat-containing protein DWA2",NA,"Zm00001d050501"
"Zm00001d038193_T003",4,"Zm00001d038193_T003"," isopentenyl pyrophosphate isomerase3",NA,"Zm00001d038193"
"Zm00001d039036_T003",4,"Zm00001d039036_T003","16S rRNA processing protein RimM family",NA,"Zm00001d039036"
"Zm00001d005902_T001",4,"Zm00001d005902_T001","Sec23/Sec24 protein transport family protein","Other","Zm00001d005902"
"Zm00001d045154_T001",4,"Zm00001d045154_T001","Putative clathrin assembly protein ","Other","Zm00001d045154"
"Zm00001d019215_T004",4,"Zm00001d019215_T004","KH domain-containing protein SPIN1",NA,"Zm00001d019215"
"Zm00001d005507_T011",4,"Zm00001d005507_T011","Mediator of RNA polymerase II transcription subunit 14",NA,"Zm00001d005507"
"Zm00001d022499_T001",4,"Zm00001d022499_T001","protein_coding","Other","Zm00001d022499"
"Zm00001d018938_T001",4,"Zm00001d018938_T001","Bax inhibitor-1 family protein","Other","Zm00001d018938"
"Zm00001d024430_T001",4,"Zm00001d024430_T001","Putative leucine-rich repeat receptor-like protein kinase family protein  ",NA,"Zm00001d024430"
"Zm00001d015274_T001",4,"Zm00001d015274_T001","Pyridoxamine 5-phosphate oxidase family protein  ","Other","Zm00001d015274"
"Zm00001d016535_T001",4,"Zm00001d016535_T001","Ethylene-responsive transcription factor-like protein ","Other","Zm00001d016535"
"Zm00001d046889_T010",4,"Zm00001d046889_T010","Protein STRUBBELIG-RECEPTOR FAMILY 1",NA,"Zm00001d046889"
"Zm00001d043929_T001",4,"Zm00001d043929_T001","Fasciclin-like arabinogalactan protein 6","Other","Zm00001d043929"
"Zm00001d044037_T001",4,"Zm00001d044037_T001","Protein trichome birefringence-like 39","Other","Zm00001d044037"
"Zm00001d044686_T001",4,"Zm00001d044686_T001","Non-specific lipid-transfer protein  ","Other","Zm00001d044686"
"Zm00001d039770_T001",4,"Zm00001d039770_T001","Fasciclin-like arabinogalactan protein 11","Other","Zm00001d039770"
"Zm00001d035773_T005",4,"Zm00001d035773_T005","protein_coding",NA,"Zm00001d035773"
"Zm00001d008982_T001",4,"Zm00001d008982_T001","Reticulon-like protein B4","Other","Zm00001d008982"
"Zm00001d018242_T001",4,"Zm00001d018242_T001","Putative metal tolerance protein C3","Other","Zm00001d018242"
"Zm00001d047422_T001",4,"Zm00001d047422_T001","[Pyruvate dehydrogenase (acetyl-transferring)] kinase mitochondrial",NA,"Zm00001d047422"
"Zm00001d030694_T002",4,"Zm00001d030694_T002","Thaumatin-like protein  ","Other","Zm00001d030694"
"Zm00001d038577_T002",4,"Zm00001d038577_T002","Probable glucan endo-13-beta-glucosidase BG1",NA,"Zm00001d038577"
"P15636",4,"P15636","Wako Lys-C API_ACHLY Protease 1 OS=Achromobacter lyticus PE=1 SV=1 ","Other","P15636"
"Zm00001d025397_T002",4,"Zm00001d025397_T002","ubiquitin interaction motif-containing protein","Other","Zm00001d025397"
"Zm00001d041582_T005",4,"Zm00001d041582_T005","zinc knuckle (CCHC-type) family protein","Other","Zm00001d041582"
"Zm00001d043984_T001",4,"Zm00001d043984_T001","Integral membrane protein-like","Other","Zm00001d043984"
"Zm00001d041679_T001",4,"Zm00001d041679_T001","UDP-D-apiose/UDP-D-xylose synthase 2","Other","Zm00001d041679"
"Zm00001d013590_T001",4,"Zm00001d013590_T001","ARF guanine-nucleotide exchange factor GNOM","Other","Zm00001d013590"
"Zm00001d049707_T006",4,"Zm00001d049707_T006","Phospholipase SGR2",NA,"Zm00001d049707"
"Zm00001d023343_T002",4,"Zm00001d023343_T002"," phospholipid transfer protein homolog1",NA,"Zm00001d023343"
"Zm00001d048222_T001",4,"Zm00001d048222_T001","Ras-related protein RABA4a",NA,"Zm00001d048222"
"Zm00001d037453_T002",4,"Zm00001d037453_T002","Reticulon  ","Other","Zm00001d037453"
"Zm00001d038699_T001",4,"Zm00001d038699_T001","O-methyltransferase ZRP4  ","Other","Zm00001d038699"
"Zm00001d005393_T005",4,"Zm00001d005393_T005","E3 ubiquitin-protein ligase ",NA,"Zm00001d005393"
"Zm00001d036448_T011",4,"Zm00001d036448_T011","Putative MAP kinase family protein  ",NA,"Zm00001d036448"
"Zm00001d007757_T004",4,"Zm00001d007757_T004","DEAD-box ATP-dependent RNA helicase 52",NA,"Zm00001d007757"
"Zm00001d047028_T001",4,"Zm00001d047028_T001","BAH domain ;TFIIS helical bundle-like domain","Other","Zm00001d047028"
"Zm00001d033928_T001",4,"Zm00001d033928_T001","Cyclin-H1-1","Other","Zm00001d033928"
"Zm00001d034893_T003",4,"Zm00001d034893_T003","SNARE-like superfamily protein",NA,"Zm00001d034893"
"Zm00001d011740_T001",4,"Zm00001d011740_T001","Senescence-associated protein 12  ","Other","Zm00001d011740"
"Zm00001d043975_T001",4,"Zm00001d043975_T001","PNAS-3 related",NA,"Zm00001d043975"
"Zm00001d021123_T002",4,"Zm00001d021123_T002","Plasma membrane",NA,"Zm00001d021123"
"Zm00001d009236_T004",4,"Zm00001d009236_T004","Ubiquitin-like-specific protease ESD4",NA,"Zm00001d009236"
"Zm00001d014571_T001",4,"Zm00001d014571_T001","Beta-glucosidase 44",NA,"Zm00001d014571"
"Zm00001d045182_T003",4,"Zm00001d045182_T003","Adenylyltransferase and sulfurtransferase MOCS3 1 Molybdopterin-synthase adenylyltransferase Molybdopterin-synthase sulfurtransferase ",NA,"Zm00001d045182"
"Zm00001d043194_T001",4,"Zm00001d043194_T001","Phosphoglycerate kinase  ",NA,"Zm00001d043194"
"Zm00001d010850_T001",4,"Zm00001d010850_T001","Transducin family protein / WD-40 repeat family protein","Other","Zm00001d010850"
"Zm00001d051564_T001",4,"Zm00001d051564_T001","Soluble inorganic pyrophosphatase 2","Other","Zm00001d051564"
"Zm00001d035752_T001",4,"Zm00001d035752_T001","STIP1 and U box-containing protein 1%3B STIP1 homology and U box-containing protein 1  ","Other","Zm00001d035752"
"Zm00001d024816_T022",4,"Zm00001d024816_T022"," chromatin complex subunit A",NA,"Zm00001d024816"
"Zm00001d037499_T001",4,"Zm00001d037499_T001","Thioredoxin H9","Other","Zm00001d037499"
"Zm00001d011696_T001",4,"Zm00001d011696_T001","Putative casein kinase family protein  ",NA,"Zm00001d011696"
"Zm00001d029846_T001",4,"Zm00001d029846_T001","Translocase of chloroplast 120 chloroplastic","Other","Zm00001d029846"
"Zm00001d050020_T001",4,"Zm00001d050020_T001","Putative fucosyltransferase-like protein",NA,"Zm00001d050020"
"Zm00001d034894_T001",4,"Zm00001d034894_T001","ATP-dependent DNA helicase 2 subunit KU80","Other","Zm00001d034894"
"Zm00001d038021_T001",4,"Zm00001d038021_T001","ARM repeat superfamily protein","Other","Zm00001d038021"
"Zm00001d002166_T024",4,"Zm00001d002166_T024","Eukaryotic translation initiation factor 3 subunit C",NA,"Zm00001d002166"
"Zm00001d040462_T001",4,"Zm00001d040462_T001","COP9 signalosome complex subunit 2",NA,"Zm00001d040462"
"Zm00001d046214_T003",4,"Zm00001d046214_T003","Serine/threonine protein phosphatase 2A 55 kDa regulatory subunit B beta isoform","Other","Zm00001d046214"
"Zm00001d035876_T003",4,"Zm00001d035876_T003","Probable methyltransferase PMT18",NA,"Zm00001d035876"
"Zm00001d049303_T001",4,"Zm00001d049303_T001","O-methyltransferase ZRP4  ","Other","Zm00001d049303"
"Zm00001d019481_T002",4,"Zm00001d019481_T002","Adenylate kinase isoenzyme 6 homolog",NA,"Zm00001d019481"
"Zm00001d012684_T001",4,"Zm00001d012684_T001","protein_coding",NA,"Zm00001d012684"
"Zm00001d041599_T004",4,"Zm00001d041599_T004","PAS domain-containing protein tyrosine kinase family protein",NA,"Zm00001d041599"
"Zm00001d015272_T001",4,"Zm00001d015272_T001","protein_coding","Other","Zm00001d015272"
"Zm00001d001809_T009",4,"Zm00001d001809_T009","RNA polymerase II transcription factor B subunit 2",NA,"Zm00001d001809"
"Zm00001d038327_T001",4,"Zm00001d038327_T001","Proteinase inhibitor propeptide","Other","Zm00001d038327"
"Zm00001d028213_T001",4,"Zm00001d028213_T001","histone-lysine N-methyltransferases","Other","Zm00001d028213"
"Zm00001d020283_T001",4,"Zm00001d020283_T001","CD2-binding protein-related","Other","Zm00001d020283"
"Zm00001d018616_T001",4,"Zm00001d018616_T001","DDRGK domain-containing protein 1","Other","Zm00001d018616"
"Zm00001d026575_T001",4,"Zm00001d026575_T001","Reticulon-like protein B11","Other","Zm00001d026575"
"Zm00001d024027_T001",4,"Zm00001d024027_T001"," proline rich cell wall protein1","Other","Zm00001d024027"
"Zm00001d030316_T001",4,"Zm00001d030316_T001","Proline-rich protein 2","Other","Zm00001d030316"
"Zm00001d030471_T001",4,"Zm00001d030471_T001","Alpha-L-fucosidase 2","Other","Zm00001d030471"
"Zm00001d005108_T001",4,"Zm00001d005108_T001","SNF1-related protein kinase catalytic alpha subunit KIN10  ","Other","Zm00001d005108"
"Zm00001d049071_T001",4,"Zm00001d049071_T001","Peroxidase superfamily protein","Other","Zm00001d049071"
"Zm00001d043329_T001",4,"Zm00001d043329_T001","Topoisomerase II-associated protein PAT1","Other","Zm00001d043329"
"Zm00001d010324_T001",4,"Zm00001d010324_T001","Probable manganese-transporting ATPase PDR2","Other","Zm00001d010324"
"Zm00001d003016_T001",4,"Zm00001d003016_T001"," phenylalanine ammonia lyase2","Other","Zm00001d003016"
"Zm00001d047479_T003",4,"Zm00001d047479_T003","Superoxide dismutase ","Other","Zm00001d047479"
"Zm00001d034925_T001",4,"Zm00001d034925_T001","Transferase  ","Other","Zm00001d034925"
"Zm00001d032099_T003",4,"Zm00001d032099_T003","sec34-like family protein",NA,"Zm00001d032099"
"Zm00001d020358_T001",4,"Zm00001d020358_T001","Ubiquitin-protein ligase  ","Other","Zm00001d020358"
"Zm00001d051702_T002",4,"Zm00001d051702_T002","BSD domain-containing protein",NA,"Zm00001d051702"
"Zm00001d014773_T001",4,"Zm00001d014773_T001"," calcium dependent protein kinase1","Other","Zm00001d014773"
"Zm00001d044425_T001",4,"Zm00001d044425_T001","Os01g0606100 protein","Other","Zm00001d044425"
"Zm00001d040008_T005",4,"Zm00001d040008_T005","C2 domain-containing protein",NA,"Zm00001d040008"
"Zm00001d051678_T020",4,"Zm00001d051678_T020","WD40%2C G-beta domain containing family protein%2C family  ",NA,"Zm00001d051678"
"Zm00001d052312_T001",4,"Zm00001d052312_T001","Sec1/munc18-like (SM) proteins superfamily","Other","Zm00001d052312"
"gi_136429",4,"gi_136429","TRYP_PIG TRYPSIN PRECURSOR.(Sus scrofa) ","Other","gi_136429"
"Zm00001d031691_T001",4,"Zm00001d031691_T001","Biotin synthase","Other","Zm00001d031691"
"Zm00001d020403_T001",4,"Zm00001d020403_T001","Receptor kinase  ","Other","Zm00001d020403"
"Zm00001d015102_T001",4,"Zm00001d015102_T001","Golgi SNAP receptor complex member 1-2","Other","Zm00001d015102"
"Zm00001d021426_T001",4,"Zm00001d021426_T001","Transcription initiation factor TFIID subunit 15","Other","Zm00001d021426"
"Zm00001d036475_T002",4,"Zm00001d036475_T002","ABC1 family protein","Other","Zm00001d036475"
"Zm00001d050924_T001",4,"Zm00001d050924_T001","40S ribosomal protein S8  ","Cytosolic ribosome","Zm00001d050924"
"Zm00001d045054_T001",4,"Zm00001d045054_T001"," sesquiterpene cyclase1",NA,"Zm00001d045054"
"Zm00001d047472_T002",4,"Zm00001d047472_T002","homolog of nucleolar protein NOP56",NA,"Zm00001d047472"
"Zm00001d054069_T001",4,"Zm00001d054069_T001","Tetratricopeptide repeat (TPR)-like superfamily protein","Other","Zm00001d054069"
"Zm00001d023314_T001",4,"Zm00001d023314_T001","Putative phototropic-resoponsive NPH3 family protein  ","Other","Zm00001d023314"
"Zm00001d007296_T001",4,"Zm00001d007296_T001","Vacuolar protein sorting-associated protein 26A","Other","Zm00001d007296"
"Zm00001d018208_T001",4,"Zm00001d018208_T001"," protein; Tyrosine specific protein phosphatase-like","Other","Zm00001d018208"
"Zm00001d031871_T001",4,"Zm00001d031871_T001"," brachytic2","Other","Zm00001d031871"
"Zm00001d016604_T001",4,"Zm00001d016604_T001","Trihelix transcription factor ASR3","Other","Zm00001d016604"
"Zm00001d038378_T001",4,"Zm00001d038378_T001","Coatomer subunit zeta-1","Other","Zm00001d038378"
"Zm00001d053181_T001",4,"Zm00001d053181_T001","from the Czech 'roh' meaning 'corner'","Other","Zm00001d053181"
"Zm00001d021236_T010",4,"Zm00001d021236_T010","Homeodomain leucine zipper family IV protein  ",NA,"Zm00001d021236"
"Zm00001d016559_T001",4,"Zm00001d016559_T001","Ubiquitin-activating enzyme E1 domain-containing protein 1  ","Other","Zm00001d016559"
"Zm00001d028303_T003",4,"Zm00001d028303_T003","Branched-chain-amino-acid aminotransferase  ",NA,"Zm00001d028303"
"Zm00001d043827_T002",4,"Zm00001d043827_T002","S-adenosyl-L-methionine-dependent methyltransferases superfamily protein",NA,"Zm00001d043827"
"Zm00001d041592_T054",4,"Zm00001d041592_T054","modifier of snc1",NA,"Zm00001d041592"
"Zm00001d042111_T001",4,"Zm00001d042111_T001"," tassels replace upper ears1","Other","Zm00001d042111"
"Zm00001d028656_T001",4,"Zm00001d028656_T001","DNA binding protein  ","Other","Zm00001d028656"
"Zm00001d029662_T001",4,"Zm00001d029662_T001","Catalytic/ hydrolase  ",NA,"Zm00001d029662"
"Zm00001d035029_T001",4,"Zm00001d035029_T001","Protein transporter%3B Putative VHS/GAT domain containing family protein isoform 1%3B Putative VHS/GAT domain containing family protein isoform 2  ","Other","Zm00001d035029"
"Zm00001d037290_T001",4,"Zm00001d037290_T001","NAD(P)-binding Rossmann-fold superfamily protein","Other","Zm00001d037290"
"Zm00001d033800_T002",4,"Zm00001d033800_T002","Protein NRT1/ PTR FAMILY 8.3","Other","Zm00001d033800"
"Zm00001d044604_T001",4,"Zm00001d044604_T001","Putative serine/threonine-protein kinase-like protein CCR3","Other","Zm00001d044604"
"Zm00001d031088_T001",4,"Zm00001d031088_T001","Serine/threonine-protein phosphatase  ","Other","Zm00001d031088"
"Zm00001d002295_T001",4,"Zm00001d002295_T001","Germin-like protein subfamily 1 member 11  ","Other","Zm00001d002295"
"Zm00001d018423_T001",4,"Zm00001d018423_T001","glycoprotein glucosyltransferase","Other","Zm00001d018423"
"Zm00001d014286_T037",4,"Zm00001d014286_T037","Calmodulin-binding transcription activator 2",NA,"Zm00001d014286"
